alpha,c_l,c_d,c_m,thickness
-180,0.0,0.0,0.0,480
-175,0.1736,0.0099,0.0218,480
-170,0.342,0.0392,0.0434,480
-165,0.5,0.0871,0.0647,480
-160,0.6428,0.1521,0.0855,480
-155,0.766,0.2322,0.1057,480
-150,0.866,0.325,0.125,480
-145,0.9397,0.4277,0.1434,480
-140,0.9848,0.5371,0.1607,480
-135,1.0,0.65,0.1768,480
-130,0.9848,0.7629,0.1915,480
-125,0.9397,0.8723,0.2048,480
-120,0.866,0.975,0.2165,480
-115,0.766,1.0678,0.2266,480
-110,0.6428,1.1479,0.2349,480
-105,0.5,1.2129,0.2415,480
-100,0.342,1.2608,0.2462,480
-95,0.1736,1.2901,0.249,480
-90,0.0,1.3,0.25,480
-85,-0.1736,1.2901,0.249,480
-80,-0.342,1.2608,0.2462,480
-75,-0.5,1.2129,0.2415,480
-70,-0.6428,1.1479,0.2349,480
-65,-0.766,1.0678,0.2266,480
-60,-0.866,0.975,0.2165,480
-55,-0.9397,0.8723,0.2048,480
-50,-0.9848,0.7629,0.1915,480
-45,-1.0,0.65,0.1768,480
-40,-0.9816,0.5422,0.1416,480
-39,-0.9539,0.5206,0.1346,480
-38,-0.9262,0.4991,0.1276,480
-37,-0.8885,0.4775,0.1205,480
-36,-0.8308,0.4559,0.1135,480
-35,-0.7731,0.4344,0.1065,480
-34,-0.7254,0.4128,0.0994,480
-33,-0.6577,0.3913,0.0924,480
-32,-0.61106,0.29229,0.0305,480
-30,-0.56083,0.26626,0.01996,480
-28,-0.5106,0.24023,0.00941,480
-26,-0.44936,0.2169,-0.00057,480
-24,-0.38812,0.19358,-0.01055,480
-22,-0.31614,0.17325,-0.01971,480
-20,-0.24416,0.15293,-0.02887,480
-18,-0.16413,0.13546,-0.03685,480
-16,-0.0841,0.11799,-0.04483,480
-14,0.00209,0.10351,-0.05104,480
-12,0.08829,0.08903,-0.05725,480
-10,0.17217,0.07732,-0.0604,480
-8,0.25606,0.06561,-0.06355,480
-6,0.31794,0.05631,-0.0605,480
-4,0.37982,0.04701,-0.05745,480
-2,0.35731,0.04055,-0.03512,480
0,0.33479,0.0341,-0.01279,480
2,0.56519,0.03159,-0.04935,480
4,0.87689,0.03427,-0.08943,480
6,1.04252,0.04507,-0.11164,480
8,0.92747,0.07814,-0.11967,480
10,0.82497,0.11741,-0.1329,480
12,0.79054,0.15594,-0.14916,480
14,0.78946,0.19348,-0.16467,480
16,0.81288,0.22998,-0.17992,480
18,0.85046,0.26564,-0.1944,480
20,0.89457,0.30073,-0.20796,480
22,0.9356,0.3361,-0.21989,480
24,0.97664,0.37148,-0.23182,480
26,1.01588,0.40562,-0.2421,480
28,1.05513,0.43976,-0.25239,480
30,1.08428,0.47353,-0.26105,480
32,1.11343,0.5073,-0.26972,480
33,1.1309,0.4288,-0.1366,480
34,1.1429,0.4501,-0.1406,480
35,1.1448,0.4712,-0.1447,480
36,1.1465,0.4922,-0.1487,480
37,1.1382,0.5131,-0.1526,480
38,1.1299,0.534,-0.1565,480
39,1.1215,0.5547,-0.1604,480
40,1.103,0.5753,-0.1643,480
45,1.0304,0.6772,-0.1833,480
50,0.9756,0.77647,-0.19437,480
55,0.9208,0.87573,-0.20543,480
60,0.866,0.975,-0.2165,480
65,0.766,1.0678,-0.2266,480
70,0.6428,1.1479,-0.2349,480
75,0.5,1.2129,-0.2415,480
80,0.342,1.2608,-0.2462,480
85,0.1736,1.2901,-0.249,480
90,0.0,1.3,-0.25,480
95,-0.1736,1.2901,-0.249,480
100,-0.342,1.2608,-0.2462,480
105,-0.5,1.2129,-0.2415,480
110,-0.6428,1.1479,-0.2349,480
115,-0.766,1.0678,-0.2266,480
120,-0.866,0.975,-0.2165,480
125,-0.9397,0.8723,-0.2048,480
130,-0.9848,0.7629,-0.1915,480
135,-1.0,0.65,-0.1768,480
140,-0.9848,0.5371,-0.1607,480
145,-0.9397,0.4277,-0.1434,480
150,-0.866,0.325,-0.125,480
155,-0.766,0.2322,-0.1057,480
160,-0.6428,0.1521,-0.0855,480
165,-0.5,0.0871,-0.0647,480
170,-0.342,0.0392,-0.0434,480
175,-0.1736,0.0099,-0.0218,480
180,0.0,0.0,0.0,480
